part_number,price,vendor,kind
DWB600PE350-3DA,1004.85,Eaton,breaker
DWB600PE400-3DA,1004.85,Eaton,breaker
DWB600PE600-3DA,1004.85,Eaton,breaker
XT5HU330AFFF000XXX,2217.07,ABB,breaker
XT5HU340AFFF000XXX,2333.84,ABB,breaker
XT5HU360BFFF000XXX,3357.76,ABB,breaker
MRXL-A-DWB1000-R,121.27,WEG,accessory
KXT5RHESTFP,100.00,ABB,accessory
KXT5CUAL2X500K-3PC,120.00,ABB,accessory
